name,eventCount,seasons,bestResult,lastResult,wonLost,titles,wonPct
Wimbledon,14,"2003, 2005-2008, 2010-2015, 2017-2019",W,SF,53-12,2,81.50%
Tour Finals,9,"2006-2007, 2009-2011, 2013, 2015, 2017, 2019",F,RR,18-14,0,56.30%
Cincinnati Masters,12,"2004-2011, 2013, 2015-2017",W,QF,22-Nov,1,66.70%
Indian Wells Masters,14,"2004, 2006-2017, 2019",W,SF,54-10,3,84.40%
Paris Masters,7,"2007-2009, 2013, 2015, 2017, 2019",F,SF,19-May,0,79.20%
Rome Masters,16,2005-2020,W,QF,63-7,9,90.00%
Rotterdam,2,2008-2009,F,F,05-Feb,0,71.40%
Tokyo,2,2010-2011,W,F,09-Jan,1,90.00%
Adelaide,1,2017,QF,QF,02-Jan,0,66.70%
Marseille,1,2006,SF,SF,03-Jan,0,75.00%
Milan,1,2004,R16,R16,01-Jan,0,50.00%
Montpellier,2,2003-2004,R32,R32,0-2,0,0.00%
Palermo,1,2004,R16,R16,01-Jan,0,50.00%
Stockholm,1,2006,R16,R16,01-Jan,0,50.00%
Sydney Outdoor,1,2007,R32,R32,0-1,0,0.00%
